Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95;Public_Auto_mean;Public_Auto_std;Public_Auto_p05;Public_Auto_p95;Agri_Auto_mean;Agri_Auto_std;Agri_Auto_p05;Agri_Auto_p95;EffectiveBDP_mean;EffectiveBDP_std;EffectiveBDP_p05;EffectiveBDP_p95;BPO_Sigma_mean;BPO_Sigma_std;BPO_Sigma_p05;BPO_Sigma_p95;Manuf_Sigma_mean;Manuf_Sigma_std;Manuf_Sigma_p05;Manuf_Sigma_p95;Retail_Sigma_mean;Retail_Sigma_std;Retail_Sigma_p05;Retail_Sigma_p95;Health_Sigma_mean;Health_Sigma_std;Health_Sigma_p05;Health_Sigma_p95;Public_Sigma_mean;Public_Sigma_std;Public_Sigma_p05;Public_Sigma_p95;Agri_Sigma_mean;Agri_Sigma_std;Agri_Sigma_p05;Agri_Sigma_p95;MeanDegree_mean;MeanDegree_std;MeanDegree_p05;MeanDegree_p95;IoFlows_mean;IoFlows_std;IoFlows_p05;IoFlows_p95;IoGdpRatio_mean;IoGdpRatio_std;IoGdpRatio_p05;IoGdpRatio_p95
1;0,013798;0,000030;0,013746;0,013857;0,002080;0,000000;0,002080;0,002080;0,000353;0,000167;0,000000;0,000700;4,330231;0,000069;4,330120;4,330355;8268,073113;0,000000;8268,073113;8268,073113;-73709664,435614;128227,961008;-73938532,446358;-73552257,523092;0,040653;0,100814;0,000000;0,245925;0,052263;0,000004;0,052257;0,052270;0,999944;0,000008;0,999930;0,999960;0,000143;0,000105;0,000000;0,000300;0,000210;0,000119;0,000000;0,000400;0,000778;0,001652;0,000000;0,003333;0,000250;0,000382;0,000000;0,001250;0,000637;0,000352;0,000000;0,001333;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2;0,009023;0,000071;0,008908;0,009159;0,002070;0,000000;0,002070;0,002070;0,000753;0,000285;0,000400;0,001300;4,330547;0,000124;4,330396;4,330749;8269,921193;0,103488;8269,739956;8270,136824;-147248383,412065;256684,805168;-147693341,876619;-146920048,186000;0,048809;0,092797;0,000000;0,233629;0,048601;0,000006;0,048594;0,048611;0,999767;0,000022;0,999731;0,999810;0,000270;0,000179;0,000000;0,000600;0,000483;0,000171;0,000200;0,000800;0,001222;0,002015;0,000000;0,006667;0,000625;0,000604;0,000000;0,001876;0,001363;0,000550;0,000445;0,002444;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,005333;0,000117;0,005171;0,005584;0,002070;0,000000;0,002070;0,002070;0,001180;0,000386;0,000500;0,001800;4,330939;0,000161;4,330724;4,331212;8271,526882;0,246261;8271,159042;8271,952946;-220648937,331271;388500,434182;-221312429,473393;-220157607,058362;0,041863;0,080473;0,000000;0,130147;0,046043;0,000007;0,046032;0,046054;0,999494;0,000040;0,999437;0,999576;0,000400;0,000229;0,000100;0,000700;0,000780;0,000284;0,000300;0,001200;0,002333;0,003459;0,000000;0,010000;0,001104;0,000879;0,000000;0,003125;0,002059;0,000730;0,000667;0,003111;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,002487;0,000170;0,002266;0,002844;0,002060;0,000002;0,002060;0,002060;0,001650;0,000588;0,000700;0,002700;4,331368;0,000203;4,331045;4,331712;8272,906576;0,406560;8272,300462;8273,392267;-293968799,218061;529300,180517;-294840171,023753;-293311620,547517;0,039959;0,073232;0,000000;0,100623;0,044254;0,000008;0,044241;0,044267;0,999148;0,000064;0,999067;0,999283;0,000473;0,000253;0,000100;0,000900;0,001177;0,000420;0,000500;0,001800;0,004111;0,004446;0,000000;0,013333;0,001813;0,000999;0,000000;0,004375;0,002734;0,001064;0,001111;0,004667;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;0,000288;0,000230;-0,000026;0,000751;0,002060;0,000002;0,002060;0,002060;0,002177;0,000705;0,000900;0,003200;4,331847;0,000241;4,331440;4,332211;8274,037328;0,654032;8272,915921;8274,901346;-367250344,659011;672305,022122;-368389068,604417;-366424853,644791;0,034658;0,052898;0,000000;0,096707;0,043004;0,000008;0,042990;0,043017;0,998745;0,000093;0,998620;0,998939;0,000537;0,000292;0,000100;0,001000;0,001640;0,000501;0,000700;0,002400;0,005333;0,004269;0,000000;0,013333;0,002667;0,001129;0,000625;0,004378;0,003519;0,001360;0,001556;0,005335;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;-0,001438;0,000309;-0,001933;-0,000829;0,002056;0,000005;0,002050;0,002060;0,002810;0,000990;0,000900;0,004300;4,332398;0,000329;4,331829;4,332934;8274,911422;0,981685;8273,104578;8276,370970;-440525633,620458;824584,752922;-441956639,227672;-439537549,335281;0,032965;0,041828;0,000000;0,148786;0,042133;0,000010;0,042115;0,042151;0,998290;0,000133;0,998096;0,998563;0,000670;0,000398;0,000100;0,001400;0,002140;0,000692;0,000700;0,003300;0,008337;0,005695;0,000000;0,016722;0,003563;0,001686;0,001250;0,006879;0,004408;0,001782;0,001556;0,007113;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;-0,002817;0,000391;-0,003458;-0,002053;0,002076;0,000090;0,002050;0,002230;0,003534;0,001162;0,001400;0,005301;4,332995;0,000376;4,332381;4,333652;8275,439746;1,449011;8273,154216;8277,870648;-513825028,024385;985833,908000;-515533762,103713;-512542989,592330;0,027965;0,032000;0,000000;0,118852;0,041526;0,000010;0,041511;0,041546;0,997788;0,000181;0,997512;0,998154;0,000813;0,000443;0,000200;0,001500;0,002720;0,000865;0,001100;0,004201;0,011674;0,006310;0,000000;0,023333;0,004688;0,001714;0,002500;0,008125;0,005394;0,002056;0,002000;0,008446;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;-0,003954;0,000489;-0,004763;-0,002995;0,002218;0,000250;0,002040;0,002780;0,004451;0,001368;0,001801;0,006601;4,333669;0,000449;4,332898;4,334349;8275,586149;1,999783;8272,766886;8279,032861;-587171020,134622;1146700,072681;-589148087,098400;-585595387,829227;0,024853;0,022696;0,000000;0,077844;0,041106;0,000012;0,041086;0,041129;0,997239;0,000238;0,996863;0,997722;0,001000;0,000557;0,000200;0,001900;0,003451;0,000973;0,001500;0,005001;0,017137;0,007557;0,000000;0,026756;0,006002;0,002058;0,002500;0,010000;0,006594;0,002367;0,002890;0,010222;0,000167;0,000500;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;-0,004906;0,000604;-0,005872;-0,003766;0,002546;0,000506;0,002040;0,003430;0,005271;0,001642;0,002101;0,007802;4,334336;0,000508;4,333431;4,335137;8275,249988;2,669943;8271,406843;8279,926997;-660580756,376598;1309553,652727;-662839307,867516;-658701725,227796;0,022387;0,020011;0,000000;0,065295;0,040811;0,000012;0,040791;0,040830;0,996647;0,000308;0,996161;0,997259;0,001167;0,000641;0,000300;0,002200;0,004104;0,001157;0,002000;0,006201;0,021928;0,010011;0,003333;0,043333;0,007419;0,002393;0,003750;0,010625;0,007594;0,002826;0,003112;0,012222;0,000167;0,000500;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;-0,005733;0,000731;-0,006842;-0,004370;0,002913;0,000703;0,002040;0,003930;0,006201;0,001848;0,002900;0,008900;4,335065;0,000564;4,334021;4,335838;8274,498516;3,465176;8269,580517;8280,701998;-734056806,136614;1475946,164578;-736555917,210338;-731868159,591237;0,020394;0,015250;0,003159;0,052296;0,040608;0,000013;0,040586;0,040627;0,996010;0,000391;0,995405;0,996779;0,001397;0,000745;0,000300;0,002500;0,004804;0,001312;0,002700;0,007402;0,026048;0,009996;0,010000;0,046667;0,008878;0,002854;0,005003;0,013759;0,008862;0,003141;0,003779;0,014003;0,000222;0,000567;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
