Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95;Public_Auto_mean;Public_Auto_std;Public_Auto_p05;Public_Auto_p95;Agri_Auto_mean;Agri_Auto_std;Agri_Auto_p05;Agri_Auto_p95;EffectiveBDP_mean;EffectiveBDP_std;EffectiveBDP_p05;EffectiveBDP_p95;BPO_Sigma_mean;BPO_Sigma_std;BPO_Sigma_p05;BPO_Sigma_p95;Manuf_Sigma_mean;Manuf_Sigma_std;Manuf_Sigma_p05;Manuf_Sigma_p95;Retail_Sigma_mean;Retail_Sigma_std;Retail_Sigma_p05;Retail_Sigma_p95;Health_Sigma_mean;Health_Sigma_std;Health_Sigma_p05;Health_Sigma_p95;Public_Sigma_mean;Public_Sigma_std;Public_Sigma_p05;Public_Sigma_p95;Agri_Sigma_mean;Agri_Sigma_std;Agri_Sigma_p05;Agri_Sigma_p95;MeanDegree_mean;MeanDegree_std;MeanDegree_p05;MeanDegree_p95;IoFlows_mean;IoFlows_std;IoFlows_p05;IoFlows_p95;IoGdpRatio_mean;IoGdpRatio_std;IoGdpRatio_p05;IoGdpRatio_p95
1;0,013998;0,000027;0,013960;0,014042;0,002080;0,000000;0,002080;0,002080;0,000353;0,000167;0,000000;0,000700;4,330230;0,000069;4,330120;4,330355;8268,073113;0,000000;8268,073113;8268,073113;-73858363,305236;120310,628010;-74073493,241226;-73707555,047410;0,040547;0,100711;0,000000;0,245925;0,052263;0,000004;0,052257;0,052270;1,000000;0,000007;0,999989;1,000012;0,000143;0,000105;0,000000;0,000300;0,000210;0,000119;0,000000;0,000400;0,000667;0,001333;0,000000;0,003333;0,000250;0,000382;0,000000;0,001250;0,000644;0,000351;0,000000;0,001333;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2;0,009514;0,000066;0,009412;0,009630;0,002070;0,000000;0,002070;0,002070;0,000750;0,000285;0,000400;0,001300;4,330553;0,000117;4,330435;4,330753;8269,921523;0,103209;8269,739956;8270,136824;-147687484,909191;250247,701008;-148128726,063092;-147366980,873646;0,048863;0,092689;0,000000;0,233629;0,048602;0,000006;0,048596;0,048611;0,999920;0,000020;0,999889;0,999957;0,000273;0,000169;0,000000;0,000600;0,000477;0,000176;0,000200;0,000800;0,001111;0,001792;0,000000;0,003333;0,000625;0,000604;0,000000;0,001876;0,001363;0,000540;0,000445;0,002444;0,000056;0,000299;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,006128;0,000110;0,005971;0,006339;0,002070;0,000000;0,002070;0,002070;0,001180;0,000405;0,000500;0,001800;4,330953;0,000158;4,330746;4,331230;8271,527543;0,241847;8271,159042;8271,952946;-221488725,130181;381983,633676;-222134698,385203;-220980078,841538;0,042408;0,080228;0,000000;0,130147;0,046043;0,000007;0,046034;0,046055;0,999773;0,000037;0,999722;0,999845;0,000397;0,000223;0,000100;0,000700;0,000783;0,000311;0,000300;0,001300;0,002333;0,003238;0,000000;0,010000;0,001104;0,000864;0,000000;0,003125;0,002059;0,000741;0,000667;0,003111;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,003566;0,000159;0,003330;0,003876;0,002060;0,000002;0,002060;0,002060;0,001573;0,000553;0,000700;0,002400;4,331382;0,000202;4,331085;4,331762;8272,905252;0,404755;8272,300462;8273,392267;-295286165,048938;514167,831153;-296126636,341037;-294571037,365678;0,039384;0,073541;0,000000;0,108712;0,044254;0,000007;0,044243;0,044267;0,999572;0,000059;0,999484;0,999687;0,000457;0,000255;0,000100;0,000900;0,001117;0,000409;0,000500;0,001800;0,003667;0,003977;0,000000;0,010000;0,001750;0,000974;0,000625;0,003752;0,002615;0,001000;0,000889;0,004000;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;0,001603;0,000215;0,001266;0,002019;0,002060;0,000002;0,002060;0,002060;0,002097;0,000679;0,000900;0,002900;4,331881;0,000242;4,331506;4,332252;8274,074390;0,642679;8272,915921;8274,941058;-369095320,539353;648497,984277;-370155241,526933;-368188920,805838;0,035165;0,067432;0,000000;0,096707;0,043006;0,000008;0,042993;0,043019;0,999324;0,000087;0,999189;0,999494;0,000527;0,000295;0,000100;0,001000;0,001570;0,000508;0,000700;0,002400;0,005000;0,003825;0,000000;0,010000;0,002521;0,001202;0,000625;0,005000;0,003415;0,001246;0,001556;0,005335;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;0,000070;0,000288;-0,000416;0,000601;0,002056;0,000005;0,002050;0,002060;0,002654;0,000916;0,000900;0,003800;4,332441;0,000318;4,331925;4,333008;8274,994819;0,935204;8273,104544;8276,370970;-442933683,357311;781461,964827;-444214731,744359;-441850992,531737;0,037028;0,065646;0,000000;0,148786;0,042135;0,000010;0,042118;0,042153;0,999032;0,000124;0,998830;0,999269;0,000643;0,000378;0,000100;0,001300;0,002010;0,000672;0,000700;0,003100;0,007446;0,005622;0,000000;0,016667;0,003271;0,001485;0,001250;0,005625;0,004223;0,001543;0,001556;0,006667;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;-0,001162;0,000367;-0,001755;-0,000465;0,002067;0,000080;0,002050;0,002060;0,003354;0,001049;0,001400;0,004501;4,333066;0,000364;4,332551;4,333750;8275,606883;1,351229;8273,313062;8277,870648;-516819592,272502;924760,808930;-518390615,196737;-515555249,539563;0,030035;0,045608;0,000000;0,118852;0,041529;0,000010;0,041517;0,041546;0,998696;0,000169;0,998424;0,999023;0,000810;0,000424;0,000100;0,001500;0,002544;0,000755;0,001000;0,003601;0,010671;0,006047;0,000000;0,016667;0,004376;0,001606;0,001875;0,006884;0,005171;0,001787;0,001778;0,007778;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;-0,002171;0,000459;-0,002976;-0,001249;0,002150;0,000207;0,002040;0,002450;0,004094;0,001222;0,001801;0,005700;4,333726;0,000426;4,333105;4,334363;8275,846294;1,857488;8273,203855;8278,993127;-590769930,437668;1068999,779470;-592633032,019458;-589312024,687169;0,027448;0,032155;0,000000;0,091247;0,041107;0,000011;0,041093;0,041127;0,998319;0,000223;0,997939;0,998767;0,000957;0,000549;0,000100;0,002100;0,003137;0,000869;0,001400;0,004201;0,014452;0,008268;0,000000;0,023333;0,005439;0,001856;0,001875;0,008130;0,006179;0,002052;0,002001;0,009335;0,000167;0,000500;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;-0,003023;0,000559;-0,003984;-0,001886;0,002389;0,000389;0,002040;0,003250;0,004854;0,001405;0,002301;0,006601;4,334419;0,000471;4,333680;4,335099;8275,692167;2,472613;8272,657823;8279,847519;-664786742,103787;1218580,130246;-666965104,619042;-663123653,215141;0,023219;0,022554;0,001643;0,079168;0,040813;0,000011;0,040795;0,040828;0,997902;0,000288;0,997402;0,998486;0,001127;0,000611;0,000200;0,002101;0,003727;0,001000;0,001901;0,005201;0,017791;0,008704;0,003333;0,030000;0,006585;0,002247;0,002500;0,010632;0,007231;0,002346;0,002889;0,010447;0,000222;0,000567;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;-0,003756;0,000659;-0,004859;-0,002385;0,002727;0,000522;0,002040;0,003830;0,005668;0,001554;0,002901;0,007502;4,335130;0,000503;4,334278;4,335890;8275,146844;3,186166;8270,989817;8280,552975;-738878554,597081;1370432,509822;-741352219,032730;-737024739,481327;0,020513;0,016185;0,002051;0,055949;0,040609;0,000010;0,040590;0,040626;0,997448;0,000360;0,996828;0,998191;0,001280;0,000652;0,000200;0,002200;0,004388;0,001126;0,002401;0,006101;0,021241;0,009597;0,003344;0,040000;0,007941;0,002301;0,003750;0,011882;0,008321;0,002595;0,003333;0,012003;0,000278;0,000621;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;50,000000;0,000000;50,000000;50,000000;10,000000;0,000000;10,000000;10,000000;5,000000;0,000000;5,000000;5,000000;2,000000;0,000000;2,000000;2,000000;1,000000;0,000000;1,000000;1,000000;3,000000;0,000000;3,000000;3,000000;6,000000;0,000000;6,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
